,t1,t2,rel
189,ads,airspace defense solution,synonym
190,ads,architectural decisions,synonym
191,nasa technical reports server,ntrs,synonym
192,ntrs,nasa technical reports server,synonym
193,ntrs,technical reports server,synonym
194,ntrs,study nasa technical reports server,synonym
195,ntrs,field test nasa technical reports server,synonym
196,ntrs,operations nasa technical reports server,synonym
197,ntrs,aging aircraft nasa technical reports server,synonym
198,ntrs,visual basic nasa technical reports server,synonym
199,ntrs,health management nasa technical reports server,synonym
200,ntrs,controls testbed nasa technical reports server,synonym
201,ntrs,aircraft structures nasa technical reports server,synonym
202,ntrs,aircraft design nasa technical reports server,synonym
203,ntrs,status displays nasa technical reports server,synonym
204,ntrs,controls analysis nasa technical reports server,synonym
205,ntrs,navigation design nasa technical reports server,synonym
206,ntrs,test report nasa technical reports server,synonym
207,ntrs,circumterrestrial swarm nasa technical reports server,synonym
208,ntrs,guidance nasa technical reports server,synonym
209,ntrs,uas pilots nasa technical reports server,synonym
210,ntrs,technical summary nasa technical reports server,synonym
211,ntrs,terminal area nasa technical reports server,synonym
212,ntrs,autonomous spacecraft nasa technical reports server,synonym
213,ntrs,mission operations nasa technical reports server,synonym
214,ntrs,biosynthetic uav nasa technical reports server,synonym
215,ntrs,ground demonstration nasa technical reports server,synonym
216,ntrs,critical infrastructure nasa technical reports server,synonym
217,ntrs,venus nasa technical reports server,synonym
218,ntrs,symposium nasa technical reports server,synonym
219,ntrs,faa perspective nasa technical reports server,synonym
220,ntrs,pillows nasa technical reports server,synonym
221,ntrs,introducing soda nasa technical reports server,synonym
222,ntrs,composite materials nasa technical reports server,synonym
223,ntrs,space shuttle nasa technical reports server,synonym
224,ntrs,airspace databases nasa technical reports server,synonym
225,ntrs,ground vehicle nasa technical reports server,synonym
226,unmanned aerial vehicles,uavs,synonym
227,unmanned aerial vehicles,uav,synonym
228,unmanned aerial vehicles,xtreme military aircraft,synonym
229,unmanned aerial vehicles,uas,synonym
230,unmanned aerial vehicles,micro uavs,synonym
231,unmanned aerial vehicles,suavs,synonym
232,unmanned aerial vehicles,mini uav,synonym
233,unmanned aerial vehicles,fixed wing,ancestor
234,unmanned aerial vehicles,small uavs,synonym
235,uavs,unmanned aerial vehicles,synonym
236,uavs,unmanned air vehicles,synonym
237,uavs,small unmanned aerial vehicles,synonym
238,uavs,uninhabited aerial vehicles,synonym
239,uavs,aerial vehicles,synonym
240,uavs,unmanned aircraft vehicles,synonym
241,uavs,unmanned aircraft vehicle system,synonym
242,uavs,unmanned aerial systems,synonym
243,uavs,unmanned aerial vehicle,synonym
244,uavs,single unmanned autonomous vehicles,synonym
245,uavs,general aviation aircraft,sibling
246,uavs,huosheng unmanned aerial vehicles,synonym
247,uavs,unmanned aerospace vehicles,synonym
248,uavs,unmanned aerial vechicle,synonym
249,uavs,navid unmanned air vehicles,synonym
250,uavs,inexpensive unmanned air vehicles,synonym
251,uavs,air vehicles,synonym
252,uavs,small uavs,ancestor
253,uavs,autonomous unmanned aerial vehicles,synonym
254,uavs,unmanned arial vehicles,synonym
255,uavs,military jets,sibling
256,uavs,rpas,synonym
257,uavs,uninhabited air vehicles,synonym
258,uavs,unmanned aerial vehicle systems association,synonym
259,uavs,unmanned aircraft,synonym
260,uavs,unmanned aircraft systems,synonym
261,uavs,unmanned areal vehicles,synonym
262,uavs,uncrewed aerial vehicles,synonym
263,uavs,uav,sibling
264,uavs,internet of things,sibling
265,uavs,aerial imagery,sibling
266,uavs,hale,synonym
267,unmanned aircraft systems,uas,synonym
268,unmanned aircraft systems,uass,synonym
269,unmanned aircraft systems,uases,synonym
270,unmanned aircraft systems,faa certified remote pilot,synonym
271,unmanned aircraft systems,coe uas,synonym
272,unmanned aircraft systems,suas,synonym
273,unmanned aircraft systems,pm uas,synonym
274,unmanned aircraft systems,ground control stations,ancestor
275,unmanned aircraft systems,manned helicopters,sibling
276,unmanned aircraft systems,small uas,synonym
277,unmanned aircraft systems,uavs,synonym
278,unmanned aircraft systems,air vehicles,ancestor
279,unmanned aircraft systems,acs,synonym
280,unmanned aircraft systems,fixed wing aircraft,sibling
281,uas,unmanned aircraft systems,synonym
282,uas,unmanned aerial systems,synonym
283,uas,unmanned aircraft system,synonym
284,uas,small unmanned aircraft systems,synonym
285,uas,unmanned aerial system,synonym
286,uas,commercial drone unmanned aerial systems,synonym
287,uas,small unmanned aerial systems,synonym
288,uas,small unmanned aircraft system,synonym
289,uas,remote pilot,synonym
290,uas,commercial unmanned aerial systems,synonym
291,uas,unmanned air system,synonym
292,uas,aircraft systems,synonym
293,uas,unmanned aircraft,synonym
294,uas,small unmanned aerial system,synonym
295,uas,drones remote unmanned aircraft systems,synonym
296,uas,aerial systems,synonym
297,uas,tactical unmanned aerial systems,synonym
298,uas,unmanned air systems,synonym
299,uas,uav,sibling
300,uas,small unmanned aircraft,synonym
301,uas,unmanned aerospace systems,synonym
302,uas,fact sheet unmanned aircraft systems,synonym
303,uas,unmanned aviation systems,synonym
304,uas,suas,sibling
305,uas,unmanned airborne system,synonym
306,uas,sky warrior,synonym
307,uas,unoccupied aircraft systems,synonym
308,uas,package delivery drone unmanned aerial systems,synonym
309,uas,adopting unmanned aerial systems,synonym
310,uas,unmanned aerial vehicles,synonym
311,uas,unmanned aircrafts,ancestor
312,uas,small commercial drone unmanned aerial systems,synonym
313,uas,unmanned aviation system,synonym
314,uas,flight skills,sibling
315,uas,privacy advocates,sibling
316,uas,unmanned areal systems,synonym
317,uas,unmanned aerospace studies,synonym
318,uas,document management,ancestor
319,uas,small tactical unmanned aircraft system,synonym
320,uas,unmanned aerial sensor,synonym
321,uas,community policing,sibling
322,uas,model aircraft,ancestor
323,uas,tactical unmanned aerial system,synonym
324,uas,model airplane,sibling
325,uas,sensor technology,sibling
326,uas,umanned aircraft systems,synonym
327,uas,intelligent sensing,ancestor
328,unmanned aerial vehicle,uav,synonym
329,unmanned aerial vehicle,uavs,synonym
330,unmanned aerial vehicle,uva,synonym
331,unmanned aerial vehicle,aerial images,synonym
332,unmanned aerial vehicle,commercial uav,synonym
333,unmanned aerial vehicle,tuav,synonym
334,uav,unmanned aerial vehicle,synonym
335,uav,unmanned aerial vehicles,synonym
336,uav,unmanned air vehicle,synonym
337,uav,small unmanned aerial vehicle,synonym
338,uav,uninhabited aerial vehicle,synonym
339,uav,unmanned aircraft vehicle,synonym
340,uav,micro unmanned aerial vehicles,synonym
341,uav,platforms agriculture unmanned aerial vehicles,synonym
342,uav,aerial vehicle,synonym
343,uav,platforms commercial industrial unmanned aerial vehicles,synonym
344,uav,unmanned aircraft vehicles,synonym
345,uav,industrial unmanned aerial vehicle,synonym
346,uav,platforms unmanned aerial vehicles,synonym
347,uav,unmanned arial vehicle,synonym
348,uav,small unmanned aerial vehicles,synonym
349,uav,aerial vehicles,synonym
350,uav,general aviation,sibling
351,uav,unmanned air vehicles,synonym
352,uav,uas,sibling
353,uav,drones lea police unmanned aerial vehicles,synonym
354,uav,jiankun an unmanned aerial vehicle,synonym
355,uav,envision unmanned air vehicles,synonym
356,uav,rpa,sibling
357,uav,unmanned areal vehicles,synonym
358,uav,suav,synonym
359,uav,ground based,sibling
360,uav,ranch agriculture unmanned aerial vehicle,synonym
361,uav,lea unmanned aerial vehicles,synonym
362,uav,cas,sibling
363,uav,unpiloted aerospace vehicle,synonym
364,uav,model airplane,sibling
365,uav,unmanned aircraft,synonym
366,uav,bird flocks,sibling
367,uav,commercial uav,sibling
368,uav,blended wing body uninhabited aerial vehicle,synonym
369,uav,air vehicle,synonym
370,uav,reflectance unmanned aerial vehicle,synonym
371,uav,sar,sibling
372,uav,uas operations,sibling
373,uav,unmanned aerospace vehicle,synonym
374,uav,industry insiders,sibling
375,uav,scaneagle unmanned aerial vehicle,synonym
376,uav,unmanned aerial systems,synonym
377,uav,istar,sibling
378,uav,unmanned aerial,synonym
379,uav,unmanned autonomous vehicles,synonym
380,uav,gainesville based,ancestor
381,uav,unmanned airborne vehicles,synonym
382,uav,cyber security,sibling
383,uav,unmanned air system,synonym
384,uav,global hawk,synonym
385,uav,unmanned aerial system,synonym
386,uav,unmanned aerial vehical,synonym
387,uav,unmanned aircraft system,synonym
388,uav,strong winds,sibling
389,uav,uavs,sibling
390,uav,manned aviation,sibling
391,return to home,rth,synonym
392,return to home,operational modes,ancestor
393,return to home,waypoint mapping,sibling
394,return to home,position hold,sibling
395,return to home,altitude hold,sibling
396,rth,return to home,synonym
397,designated pilot examiner,dpe,synonym
398,dpe,designated pilot examiner,synonym
399,airman certification representative,acr,synonym
400,acr,airman certification representative,synonym
401,acr,advanced ceramics research,synonym
402,acr,area coverage rate,synonym
403,certificated flight instructor,cfi,synonym
404,cfi,certificated flight instructor,synonym
405,cfi,rot,synonym
406,cfi,certified flight instructor,synonym
407,cfi,faa certified flight instructors,synonym
408,airmen knowledge test report,aktr,synonym
409,aktr,airmen knowledge test report,synonym
410,unmanned aerial systems,uas,synonym
411,unmanned aerial systems,uass,synonym
412,unmanned aerial systems,uavs,synonym
413,unmanned aerial systems,uases,synonym
414,unmanned aerial systems,uav,synonym
415,unmanned aerial systems,bs,synonym
416,first person view,fpv,synonym
417,first person view,line of sight,sibling
418,first person view,practicing fpv,synonym
419,first person view,hd fpv,synonym
420,fpv,first person view,synonym
421,fpv,first person video,synonym
422,fpv,person view,synonym
423,fpv,live streaming,sibling
424,fpv,first person vision,synonym
425,fpv,first person viewing,synonym
426,national airspace system,nas,synonym
427,national airspace system,detect and avoid,ancestor
428,nas,national airspace system,synonym
429,nas,national airspace,synonym
430,nas,national airsace system,synonym
431,nas,national air space,synonym
432,nas,uas,ancestor
433,nas,north american standard,synonym
434,nas,aviation safety,sibling
435,global positioning system,gps,synonym
436,global positioning system,rtk gps,synonym
437,gps,global positioning system,synonym
438,gps,glonass,sibling
439,gps,global position system,synonym
440,gps,global positioning systems,synonym
441,gps,gnss,ancestor
442,gps,global position systems,synonym
443,gps,total stations,sibling
444,gps,global positioning,synonym
445,gps,4k camera,sibling
446,gps,satellite systems,ancestor
447,gps,intel realsense collision avoidance,sibling
448,gps,glonass satellite,sibling
449,gps,led illumination,sibling
450,gps,lte modem,sibling
451,gps,laser designation,sibling
452,gps,geographic information system,sibling
453,gps,global positioning satellite,synonym
454,gps,inertial position,synonym
455,gps,inertial navigation,sibling
456,gps,ground tilt,sibling
457,gps,motion capture,sibling
458,ready to fly,rtf,synonym
459,ready to fly,gopro owner,synonym
460,ready to fly,xiro xplorer mini,ancestor
461,ready to fly,parrot bebop,ancestor
462,rtf,ready to fly,synonym
463,rtf,html,sibling
464,rtf,doc,sibling
465,rtf,radar training facility,synonym
466,dtx media,dallas texas,synonym
467,dallas texas,dtx media,synonym
468,electronic news gathering,eng,synonym
469,eng,electronic news gathering,synonym
470,eng,and engineering,synonym
471,mid range,high end,sibling
472,high end,mid range,sibling
473,blade guards,safety measures,ancestor
474,smartphone app,remote control,sibling
475,remote control,smartphone app,sibling
476,remote control,rc,synonym
477,flight battery,remote controller,sibling
478,remote controller,flight battery,sibling
479,unmanned aircraft system,uas,synonym
480,unmanned aircraft system,small uas,synonym
481,unmanned aircraft system,suas,synonym
482,unmanned aircraft system,unmanned aircraft,sibling
483,unmanned aircraft system,aac,synonym
484,unmanned aircraft system,uav,synonym
485,unmanned aircraft system,tuas,synonym
486,ground control station,gcs,synonym
487,ground control station,ugcs,synonym
488,ground control station,qgroundcontrol,synonym
489,ground control station,operational procedures,sibling
490,gcs,ground control station,synonym
491,gcs,ground control stations,synonym
492,gcs,portable ground control station,synonym
493,gcs,standard ground control station,synonym
494,gcs,ground control system,synonym
495,gcs,uav ground control station,synonym
496,gcs,control system,synonym
497,gcs,drone technology ground control stations,synonym
498,gcs,ground segment solutions,synonym
499,gcs,based ground control station,synonym
500,gcs,hawk ground control station,synonym
501,gcs,ground control systems,synonym
502,gcs,ground station edition,synonym
503,gcs,control stations,synonym
504,traffic management,utm,synonym
505,traffic management,emergency operations,sibling
506,traffic management,bridge inspection,sibling
507,traffic management,drone operations,sibling
508,utm,traffic management,synonym
509,utm,unmanned traffic management,synonym
510,utm,uas traffic management,synonym
511,utm,uav traffic management,synonym
512,utm,uas air traffic management,synonym
513,utm,unmanned aircraft systems traffic management,synonym
514,utm,nasa unmanned traffic management,synonym
515,utm,universal traffic management,synonym
516,utm,uas traffic management systems,synonym
517,utm,uam,sibling
518,utm,podium,synonym
519,utm,laanc,ancestor
520,utm,drone traffic management,synonym
521,air traffic control,atc,synonym
522,air traffic control,airspace managers,ancestor
523,air traffic control,coastal surveillance,sibling
524,air traffic control,emergency services,sibling
525,air traffic control,cellular phones,sibling
526,atc,air traffic control,synonym
527,atc,air traffic controllers,synonym
528,atc,air traffic control centers,synonym
529,atc,atm,sibling
530,atc,air traffic contoll,synonym
531,small unmanned aircraft systems,uas,synonym
532,small unmanned aircraft systems,suas,synonym
533,small unmanned aircraft systems,uass,synonym
534,small unmanned aircraft systems,final rule,synonym
535,ground control stations,gcs,synonym
536,ground control stations,gcss,synonym
537,ground control stations,data links,sibling
538,ground control stations,electro optical,sibling
539,ground control stations,air vehicles,sibling
540,unmanned traffic management,utm,synonym
541,unmanned traffic management,utms,synonym
542,unmanned vehicle systems international,auvsi,synonym
543,unmanned vehicle systems international,ausvi,synonym
544,auvsi,unmanned vehicle systems international,synonym
545,unmanned aerial system,uas,synonym
546,unmanned aerial system,small uas,synonym
547,unmanned aerial system,northrop grumman m324 uas,synonym
548,unmanned aerial system,uav,synonym
549,unmanned aerial system,lesser kestrel,sibling
550,internet of things,iot,synonym
551,internet of things,uavs,sibling
552,iot,internet of things,synonym
553,iot,internet of thing,synonym
554,iot,image processing,sibling
555,beyond visual line of sight,bvlos,synonym
556,beyond visual line of sight,low level bvlos,synonym
557,beyond visual line of sight,night waivers,sibling
558,beyond visual line of sight,autonomous flight,sibling
559,beyond visual line of sight,los,synonym
560,bvlos,beyond visual line of sight,synonym
561,bvlos,visual line of sight,synonym
562,bvlos,beyond visual line of site,synonym
563,department of defense,dod,synonym
564,department of defense,homeland security,sibling
565,dod,department of defense,synonym
566,dod,department of defence,synonym
567,dod,dsm of difference,synonym
568,dod,dem of difference,synonym
569,department of transportation,continued,synonym
570,department of transportation,dot,synonym
571,department of transportation,usdot,synonym
572,department of transportation,aviation proceedings,synonym
573,department of transportation,state fair,sibling
574,department of transportation,us,synonym
575,continued,department of transportation,synonym
576,continued,environmental protection agency,synonym
577,continued,aviation safety inspector airport access transportation,synonym
578,artificial intelligence,ai,synonym
579,artificial intelligence,autonomous robotic,sibling
580,artificial intelligence,crypto currencies,sibling
581,ai,artificial intelligence,synonym
582,ai,all intra,synonym
583,ai,artificial intelligences,synonym
584,ai,airspace integration,synonym
585,synthetic aperture radar,sar,synonym
586,synthetic aperture radar,lynx sar,synonym
587,synthetic aperture radar,passive electronic,sibling
588,sar,synthetic aperture radar,synonym
589,sar,search and rescue,synonym
590,sar,gmti,sibling
591,sar,uav,sibling
592,sar,synthetic aperture radars,synonym
593,uas traffic management,utm,synonym
594,initializing weblogic scripting tool,wlst,synonym
595,wlst,initializing weblogic scripting tool,synonym
596,wlst,weblogic scripting tool,synonym
597,wlst,weblogic server initializing weblogic scripting tool,synonym
598,ground control points,gcps,synonym
599,ground control points,gcp,synonym
600,ground control points,ground truth,synonym
601,gcps,ground control points,synonym
602,international civil aviation organization,icao,synonym
603,icao,international civil aviation organization,synonym
604,icao,international civil aviation organisation,synonym
605,icao,civil aviation organization,synonym
606,icao,eurocontrol,sibling
607,portable ground control station,gcs,synonym
608,portable ground control station,pgcs,synonym
609,certificate of authorization,coa,synonym
610,certificate of authorization,coas,synonym
611,coa,certificate of authorization,synonym
612,coa,certificate of authority,synonym
613,coa,certification of authorization,synonym
614,coa,certificates of authorization,synonym
615,coa,certificate of airworthiness,synonym
616,coa,certificate of authorisation,synonym
617,structure from motion,sfm,synonym
618,sfm,structure from motion,synonym
619,visual line of sight,vlos,synonym
620,visual line of sight,bvlos,synonym
621,visual line of sight,daytime operations,sibling
622,vlos,visual line of sight,synonym
623,vlos,visual line of site,synonym
624,vlos,rpa,synonym
625,interview question,oracle fusion middleware,sibling
626,interview question,oracle fusion middleware webcenter,sibling
627,interview question,understanding key oracle fusion middleware farm,sibling
628,oracle fusion middleware,interview question,sibling
629,oracle fusion middleware,ofm,synonym
630,development team,social media,ancestor
631,social media,big data,sibling
632,agentless exception monitoring,aem,synonym
633,aem,agentless exception monitoring,synonym
634,aem,anodyne electronics manufacturing corp,synonym
635,remotely piloted aircraft,rpa,synonym
636,remotely piloted aircraft,rpas,synonym
637,remotely piloted aircraft,model aircraft,sibling
638,remotely piloted aircraft,autonomous systems,sibling
639,rpa,remotely piloted aircraft,synonym
640,rpa,uav,sibling
641,rpa,aka remotely piloted aircraft,synonym
642,rpa,robotic process automation,synonym
643,rpa,remotely piloted aircrafts,synonym
644,rpa,vlos,synonym
645,real time strategy,rts,synonym
646,rts,real time strategy,synonym
647,rts,cts,sibling
648,above ground level,agl,synonym
649,agl,above ground level,synonym
650,optionally piloted aircraft,opa,synonym
651,optionally piloted aircraft,aurora flight,ancestor
652,opa,optionally piloted aircraft,synonym
653,standard ground control station,gcs,synonym
654,dot,department of transportation,synonym
655,dot,ad,synonym
656,dot,federal aviation administration,synonym
657,dot,faa,synonym
658,dot,departments of transportation,synonym
659,dot,wsdot,synonym
660,dot,dec,sibling
661,of foreign assets control,ofac,synonym
662,ofac,of foreign assets control,synonym
663,export administration regulations,ear,synonym
664,ear,export administration regulations,synonym
665,ear,itar,sibling
666,ear,export administration regulation,synonym
667,arms export control act,aeca,synonym
668,aeca,arms export control act,synonym
669,commercial drone unmanned aerial systems,uas,synonym
670,homeland security,dhs,synonym
671,homeland security,law enforcement,sibling
672,homeland security,department of defense,sibling
673,homeland security,3rd party,synonym
674,homeland security,search and rescue,sibling
675,homeland security,public safety,sibling
676,dhs,homeland security,synonym
677,dhs,carry weapons,sibling
678,federal aviation agency,faa,synonym
679,unmanned air vehicles,uavs,synonym
680,unmanned air vehicles,uav,synonym
681,remotely piloted aircraft systems,rpas,synonym
682,rpas,remotely piloted aircraft systems,synonym
683,rpas,remotely piloted aircraft system,synonym
684,rpas,remotely piloted aircraft,synonym
685,rpas,remotely piloted aviation systems,synonym
686,rpas,remotely piloted air systems,synonym
687,rpas,remotely piloted aircrafts,synonym
688,rpas,remote piloted aircraft systems,synonym
689,rpas,remote piloted air system,synonym
690,rpas,uavs,synonym
691,rpas,icao remotely piloted aircraft systems,synonym
692,rpas,watchkeeper wk450,synonym
693,rpas,atm,sibling
694,rpas,remotely piloted aerial systems,synonym
695,short message service,sms,synonym
696,sms,short message service,synonym
697,sms,safety management system,synonym
698,sms,safety management systems,synonym
699,sms,structural monitoring systems,synonym
700,sms,mobile communications,sibling
701,sms,mms,sibling
702,sms,instant messaging,sibling
703,sms,short message,synonym
704,sms,short message services,synonym
705,sms,synchronous meteorological satellite,synonym
706,air traffic management,atm,synonym
707,atm,air traffic management,synonym
708,atm,active traffic management,synonym
709,atm,atc,sibling
710,atm,rpas,sibling
711,radio frequency,rf,synonym
712,radio frequency,gps jamming,sibling
713,rf,radio frequency,synonym
714,rf,radio frequencies,synonym
715,rf,gps jamming,sibling
716,rf,wireless communication,sibling
717,rf,app,sibling
718,rf,video cameras,sibling
719,european aviation safety agency,easa,synonym
720,easa,european aviation safety agency,synonym
721,easa,european aerospace safety agency,synonym
722,easa,eu aviation safety agency,synonym
723,small unmanned aerial systems,uas,synonym
724,small unmanned aerial systems,suass,synonym
725,small unmanned aerial systems,suas,synonym
726,small unmanned aerial systems,uass,synonym
727,small unmanned aerial systems,commercial suas,synonym
728,particle swarm optimization,pso,synonym
729,particle swarm optimization,artificial bee colony,sibling
730,pso,particle swarm optimization,synonym
731,pso,gl pso,synonym
732,pso,particle swarm optimizer,synonym
733,defense advanced research projects agency,darpa,synonym
734,darpa,defense advanced research projects agency,synonym
735,darpa,defence advanced research projects agency,synonym
736,darpa,defense advanced projects agency,synonym
737,darpa,defense advanced research project agency,synonym
738,darpa,nasa,sibling
739,darpa,research projects agency,synonym
740,darpa,defense advanced research programs agency,synonym
741,intelligent transportation systems,its,synonym
742,its,intelligent transportation systems,synonym
